Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2023-10-18,68683.8203125,68683.8203125,67027.61471631206,67125.03857491135,16493184
2023-10-19,67709.5859375,68196.70526079136,67612.16207284173,67904.43366681655,13985012
2023-10-20,67027.6171875,67417.31263626454,66345.65015216207,67125.04104969114,15204495
2023-10-23,66637.921875,67319.88891173246,66443.0741502193,66930.19346217105,11625959
2023-10-24,66735.3515625,67027.62317518248,65955.96059534671,66930.19930428831,12791710
2023-10-25,66248.234375,67027.62536764707,66150.81050091912,67027.62536764707,10610703
2023-10-26,64981.71875,66150.80514430285,64981.71875,65273.99034857572,15517624
2023-10-27,65566.2578125,65566.2578125,64981.714652210256,65371.41009240342,11334726
2023-10-30,65566.2578125,66053.37711274145,64981.714652210256,65079.13851225854,10139270
2023-10-31,65176.56640625,66540.50053134342,65176.56640625,65858.53346879671,14488892
2023-11-01,66832.7734375,67125.04504145408,65566.26315369898,65761.11088966837,13775256
2023-11-02,67904.4296875,68196.7012643472,67612.1581106528,68196.7012643472,16350031
2023-11-03,67807.0078125,68391.55098329742,67709.58395070043,67904.43167429957,10322234
2023-11-06,69073.5234375,69073.5234375,67514.74152635755,68001.86087358957,22228489
2023-11-07,69073.5234375,69073.5234375,68196.70861248237,68781.2518291608,17228731
2023-11-08,68099.2890625,69560.64719688841,67904.44131124821,69463.22332126251,12901310
2023-11-09,68488.984375,68976.1037517781,67807.01724751067,68099.28887357752,12301373
2023-11-10,68683.8203125,68683.8203125,67709.5817265071,68196.70101950354,9684347
2023-11-13,68586.40625,69463.22110262784,68488.9823774858,69463.22110262784,9246919
2023-11-14,68976.1015625,69268.37317929025,68781.25381797316,69170.94930702684,9567984
2023-11-15,70340.0390625,70340.0390625,69658.07192477494,69755.4958015928,20148677
2023-11-16,70924.5703125,71119.41803313873,70437.45101090315,70632.29873154189,15860451
2023-11-17,70632.3125,71119.43189655173,70437.46474137931,70437.46474137931,11494644
2023-11-20,70827.15625,71119.42787138927,70242.61300722146,70242.61300722146,10610157
2023-11-21,70924.5703125,71509.11347441621,70827.14645218063,71216.8418934581,9712881
2023-11-22,70924.5703125,71119.41803313873,70047.75556962569,70340.02715058379,11105143
2023-11-23,70534.875,71314.2658839779,70340.02727900553,71119.41816298342,6775614
2023-11-24,69852.90625,70729.72097280335,69852.90625,70534.87325662482,6676685
2023-11-27,69463.2265625,70242.61760387447,69268.37880215638,69658.07432284362,9113857
2023-11-28,70827.15625,70827.15625,69463.22201685006,69560.64589064648,13283081
2023-11-29,70827.15625,70924.58012379642,70340.03688101788,70534.88462861073,9283933
2023-11-30,70924.5703125,70924.5703125,70340.02715058379,70827.14645218063,15783714
2023-12-01,70145.1875,70632.30685763889,69852.91588541666,70534.8829861111,9871284
2023-12-04,70729.7265625,71021.9981598657,70534.87883092287,70924.57429407715,10229267
2023-12-05,69365.796875,70534.8833391854,69365.796875,70437.45946716995,12129682
2023-12-06,69852.90625,70242.60168235704,69755.48239191074,69950.33010808926,8123087
2023-12-07,69658.0625,70047.75795454545,69268.36704545455,69950.33409090909,8862017
2023-12-08,70729.7265625,70924.57429407715,70047.75950198004,70242.60723355717,10859463
2023-12-11,71119.4296875,71119.4296875,70340.03867722602,70924.58193493151,9861960
2023-12-12,71606.5390625,71606.5390625,71216.84361181973,71411.69133715986,13758646
2023-12-13,70924.5703125,71606.53733473558,70924.5703125,71411.68961409683,13116766
2023-12-14,71216.8515625,72385.93804505814,70632.30832122093,72191.09029796511,27567593
2023-12-15,71411.6953125,72093.66238915417,71314.27144440655,71898.81465296725,15419815
2023-12-18,71021.9921875,71509.11147548011,70924.56832990398,71411.68761788409,9690551
2023-12-19,71509.125,71509.125,70924.5817438692,71119.4294959128,8907632
2023-12-20,72873.0546875,72970.47855740307,71898.81598846926,72288.51146808155,16870156
2023-12-21,73067.8984375,73067.8984375,72385.93138541667,72678.20297916666,13478766
2023-12-22,73944.7109375,74334.40638381094,73457.59162961133,73847.28707592227,14515608
2023-12-26,74626.6875,74724.11137402088,73749.872633812,74139.56812989556,13164909
2023-12-27,76350.4453125,76350.4453125,74882.16751802884,75077.93789062499,20651042
2023-12-28,76839.875,76839.875,75861.02308917197,76056.79347133757,17797536
2024-01-02,77916.609375,78112.37975031407,76546.2167478015,76546.2167478015,17142847
2024-01-03,75371.5859375,77133.51911525974,75371.5859375,76839.86358563312,21753644
2024-01-04,74980.0546875,75665.25100970952,74490.62874306462,74490.62874306462,15324439
2024-01-05,74980.0546875,75469.48063193538,74784.28430972584,75077.93987638707,11304316
2024-01-08,74882.171875,75861.02379493463,74784.28668300653,75371.59783496732,11088724
2024-01-09,73120.2265625,76056.78184613455,72728.6858580154,75763.12631777108,26019249
2024-01-10,72043.4921875,73609.6550611413,71651.95146908968,73413.88470193614,20259529
2024-01-11,71651.9609375,72043.50170765027,71162.53497481217,71358.3053598873,57691266
2024-01-12,71554.0703125,72532.9221635602,71260.41475718195,71456.18512739398,13038939
2024-01-15,72337.15625,72435.04144113667,71651.9599120433,71651.9599120433,2957915
2024-01-16,71064.640625,72141.37760416667,70966.75544507576,71945.60724431819,14760415
2024-01-17,69498.4765625,71749.83566241196,69498.4765625,71554.06530589788,22683660
2024-01-18,70183.671875,70477.32740585774,69204.8201054742,70085.78669804742,17853397
2024-01-19,73120.2265625,73120.2265625,71456.17856844043,71945.60444904618,23363427
2024-01-22,73511.7734375,74392.74009653795,73413.88825316245,74294.8549122004,19673375
2024-01-23,73609.65625,74196.96733710106,72728.6896193484,74099.08215591755,14786224
2024-01-24,72435.03125,73609.65337837838,71945.60536317568,73609.65337837838,12860661
2024-01-25,72532.9296875,73218.12605431849,72141.38890646087,72630.81488275979,11737747
2024-01-26,71847.7265625,72924.46360907698,71749.84137644754,72141.38212065735,11160062
2024-01-29,72826.5859375,73609.66750672043,71945.61917212702,72239.27476058468,13976521
2024-01-30,72728.6875,73707.53928331089,72141.37643001345,73413.88374831763,12244418
2024-01-31,71162.53125,72435.0386863824,70966.76087517194,71847.72756189821,15703560
2024-02-01,72043.4921875,72630.8032651155,71358.29593028192,71456.1811098845,19881033
2024-02-02,73609.65625,73609.65625,72141.37853224734,72435.03407579787,14955881
2024-02-05,72728.6875,73218.11339165545,71945.60607335127,72630.8023216689,19026021
2024-02-06,72826.5859375,73120.24152595767,71749.84877982191,72728.70074134745,14559254
2024-02-07,73413.8828125,73903.30869791667,72728.68657291666,73022.34210416666,16566445
2024-02-08,72532.9296875,73609.66683535762,72043.50371120108,73413.89644483806,20810708
2024-02-13,73609.65625,73609.65625,72826.57480053192,73218.11552526595,21966745
2024-02-14,72435.03125,72728.68678209459,72141.37571790541,72141.37571790541,12434945
